rentalZoneID:ID(RENTAL-ZONE-ID)|name|code|type|city|latitude:float|longtitude:float|poiAirport|poiLongDistanceTrains|poiSuburbanTrains|poiUnderground|:LABEL
400868|Hbf Düsseldorf|Hbf Düsseldorf|stationbased|Düsseldorf|51,220706000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
400878|Innenhof|DB|stationbased|Wuppertal|51,255078000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400883|Donnersberger Brücke|DOB|stationbased|München|,000000000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400884|Joachimstraße|JS|stationbased|Hannover|,000000000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400885|Museumstraße|MS|stationbased|Hamburg|,000000000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400886|Marheinekeplatz|MHP|stationbased|Berlin|52,488764000000000||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400888|Fontanepromenade|FOP|parkingarea|Berlin|52,489733000000000||Nein|Nein|Nein|Ja|STATION;PARKINGAREA;INACTIVE
400889|Blücherplatz |BLP|stationbased|Berlin|52,496601000000000||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400892|Hauptbahnhof|HBF|stationbased|Cottbus|51,750288000000000||Nein|Ja|Ja|Nein|STATION;STATIONBASED;INACTIVE
400894|Gleisdreieck|GL|stationbased|Berlin|52,500858961913316||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400896|Fichtenberg - IBM|AF-IBM|stationbased|Herrenberg|,000000000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400915|Keibelstraße|KEIB|stationbased|Berlin|52,524658645973420||Nein|Nein|Ja|Ja|STATION;STATIONBASED;INACTIVE
400916|Hauptbahnhof Ausgang Lindenhof|HB2|stationbased|Mannheim (BB)|,000000000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400917|Hbf 2 Mannheim Parkhaus 3 Keplerstraße|Hbf 2 Mannheim Parkhaus 3 Kepler|stationbased|Mannheim|49,479306455208980||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
400936|Heidebrinker Straße|HEIDE|stationbased|Berlin|52,550539628731244||Nein|Ja|Ja|Ja|STATION;STATIONBASED;INACTIVE
400938|Güterhallen|GH|stationbased|Fulda|50,551859000000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
400950|Hbf Cottbus - Wirtschaftshof|Hbf Cottbus|stationbased|Cottbus|51,750006727934250||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
400954|Bayerischer Platz|BP|stationbased|Berlin|52,489449153524330||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400980|U-Bahnhof Frankfurter Tor|FT|stationbased|Berlin|52,515843002706570||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400982|Am Ostbahnhof / Koppenstraße|OSK|stationbased|Berlin|52,510814609154340||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
400983|U-Bahnhof Strausberger Platz|STRAUS|stationbased|Berlin|52,518361472108150||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400984|Parkraumquartier Warschauer Straße|PR WARSCHAU|parkingarea|Berlin|52,503081137691055||Nein|Nein|Ja|Ja|STATION;PARKINGAREA;ACTIVE
400985|U-Bahnhof Weberwiese|WEB|stationbased|Berlin|52,516949645407940||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400986|U-Bahnhof Platz der Luftbrücke|PL|stationbased|Berlin|52,485798761562414||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400987|U-Bahnhof Prinzenstraße|PS|stationbased|Berlin|52,498962431367620||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400988|U-Bahnhof Moritzplatz|MP|stationbased|Berlin|52,504258306530340||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400989|U-Bahnhof Schönleinstraße|SLS|stationbased|Berlin|52,492842847964000||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400990|U-Bahnhof Kottbusser Tor|KT|stationbased|Berlin|52,499786203501564||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
400991|U-Bahnhof Hermannplatz|HP|stationbased|Berlin|52,486633805239920||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
401069|Hbf Potsdam|Hbf Potsdam|stationbased|Potsdam|52,390656000000000||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
401076|Parkraumquartier Ruschestraße|PR RUSCHE|parkingarea|Berlin|52,514074438403476||Nein|Nein|Nein|Ja|STATION;PARKINGAREA;ACTIVE
401077|Carl Friederichs GmbH |CF|stationbased|Frankfurt am Main|50,101375000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401090|Schillerstraße|SCH|stationbased|Berlin|52,511015000000000||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
401092|Rudower Chaussee |AH|stationbased|Berlin|52,428950000000000||Nein|Nein|Ja|Nein|STATION;STATIONBASED;INACTIVE
401093|Französische Straße|FRA|stationbased|Berlin|52,514771426096750||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
401099|Hbf Ingolstadt|Hbf Ingolstadt|stationbased|Ingolstadt|48,742240000000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
401104|Donnersbergerbrücke|DON|stationbased|München|48,144888989252756||Nein|Nein|Ja|Nein|STATION;STATIONBASED;ACTIVE
401105|Hamburger Bahnhof|HAM|stationbased|Berlin|52,527685733656256||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401125|Mainzer Landstraße 330-360 [GWC]|DB GWC|stationbased|Frankfurt am Main|50,101880625796085||Nein|Nein|Ja|Nein|STATION;STATIONBASED;INACTIVE
401192|Autowolf|AW|stationbased|Berlin|52,576076098602300||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401193|Werkstatt Korbas|KO|stationbased|Hamburg|53,593638266430820||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401197|Hbf Minden|Hbf Minden|stationbased|Minden|52,290724470312554||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401202|Frankfurter Str. 19 [DB KT]|DB KTE|stationbased|Eschborn|50,133612125467480||Nein|Nein|Ja|Nein|STATION;STATIONBASED;ACTIVE
401230|Gleimstraße|GLE|stationbased|Berlin|52,546713258534030||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401231|Europa Center|EUC|stationbased|Berlin|52,504353001128050||Nein|Nein|Nein|Ja|STATION;STATIONBASED;ACTIVE
401232|Kudamm Karree|KUD|stationbased|Berlin|52,500940601512060||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
401233|CAB|CAB|stationbased|Köln|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401291|Prinzregentenstraße 3|PRS3|stationbased|Berlin|52,492328421229240||Nein|Nein|Nein|Ja|STATION;STATIONBASED;INACTIVE
401292|Handwerkervereinshaus / Sophienstraße|SOP|stationbased|Berlin|52,525611670742070||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401296|Weserstraße / Ecke Thiemannstraße|WES|stationbased|Berlin|52,478092744970570||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401297|Bahnhof|BHF|stationbased|Au (Sieg)|50,773541853552390||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401298|Bahnhof|Bhf|stationbased|Wissen|50,782992093649010||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401299|S-Bahnhof Bornholmer Straße|BOR|stationbased|Berlin|52,554088427510280||Nein|Nein|Ja|Nein|STATION;STATIONBASED;INACTIVE
401310|Frechen-Königsdorf|S-Bahn - P+R Parkplatz|stationbased|Frechen|50,936419404846110||Nein|Nein|Ja|Nein|STATION;STATIONBASED;INACTIVE
401682|EKAWE|EKW|stationbased|Essen|51,453913311627750||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401697|Schlosserstraße 10|SLO|stationbased|Stuttgart|48,770142133329585||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401713|PitStop 1009|PSS|stationbased|Berlin|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401714|PitStop 1012|PSM|stationbased|Berlin|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401715|PitStop 1028|PSO|stationbased|Berlin|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401716|PitStop 5005|PSW|stationbased|Köln|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401717|PitStop 5004|PSL|stationbased|Köln|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401718|Kölner Straße 4|DB KÖL|stationbased|Frankfurt am Main|50,107903488115420||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
