vehicleID:ID(VEHICLE-ID)|modelName|modelDetails|vin|registrationPlate|kw:long|fuelType|ownershipType|company|companyGroup|:LABEL
149721|Vito|116 Diesel 120kW NAVI|WDF63970513715297|F-R 7342|120|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151087|C-Zero|ELEKTRO 35kW Automatik 4-Sitzer |VF71NZKZZCU903312|F-DB 9134|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
151232|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW612336|F-R 8023|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151782|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F854412|F-R 8172|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
150169|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58823|F-R 7615|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
149762|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJCB21755|F-R 7373|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150360|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW560590|F-R 7697|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151352|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW596856|B-R 1306|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151827|C-Zero|ELEKTRO 35kW NAVI Automatik 4-Sitzer |VF71NZKZZCU905692|F-R 8207|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
150752|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW595409|F-R 7828|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
149878|Focus|1,6 Diesel 85kW NAVI|WF0LXXGCBLCB71297|F-R 7426|85|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150136|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJCA81236|F-R 7648|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
151152|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609713|F-R 7924|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151153|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609709|F-R 7925|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
153200|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F860732|F-R 8226|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151089|C-Zero|ELEKTRO 35kW Automatik 4-Sitzer |VF71NZKZZCU903509|F-DB 9132|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
150081|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJCA81227|F-R 7653|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150868|Corsa|1.3 Diesel 70kW NAVI|W0L0SDL68D4041658|F-R 7862|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
150364|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560591|F-R 7704|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151358|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW598790|B-R 1345|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151334|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKCW613457|F-R 7790|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150108|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJCA81221|F-R 7603|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150215|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58847|F-R 7630|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
150150|Ka|1.3 Diesel 55kW NAVI|WF0UXXLTRUCG58792|F-R 7685|55|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
151163|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW611298|F-R 7932|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
153284|Ampera|1.4 HYBRID Automatik NAVI |1G0R86E47CU124775|F-FP 2757|111|Plug In (Strom, Super)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;PLUG IN (STROM, SUPER)
150137|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJCA81250|F-R 7114|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150866|Corsa|1.3 Diesel 70kW NAVI|W0L0SDL68D4038033|F-R 7861|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
150969|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW595901|F-R 7343|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151026|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609712|F-R 7898|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150366|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560596|F-R 7708|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151388|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW612906|F-R 8035|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150152|Ka|1.3 Diesel NAVI|WF0UXXLTRUCG58817|F-R 7689|55|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
151156|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609710|F-R 7928|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150241|Corsa|1,3 Diesel 70KW NAVI |W0L0SDL68C4198146|F-R 7800|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
150171|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58852|F-R 7631|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
151701|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F858235|F-R 8180|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
150155|Ka|1.3 Diesel 55kW NAVI|WF0UXXLTRUCG58799|F-R 7686|55|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
151777|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F851942|F-R 8175|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
150964|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW595406|F-R 7882|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151054|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609706|F-R 7904|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150370|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560611|F-R 7711|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150177|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58885|F-R 7638|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
153339|Ampera|1,4 HYBRID 111kW NAVI Automatik |1G0R86E46CU122581|F-PS 1516|111|Plug In (Strom, Super)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;PLUG IN (STROM, SUPER)
154470|C-Klasse|220 Diesel 125kW NAVI|WDD2042021G154282|F-R 8260|125|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151223|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW612902|F-R 7936|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151062|Astra|1,7 Diesel 81kW NAVI|W0LPD8EK1D8019903|F-R 7959|81|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
150178|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58836|F-R 7617|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
150371|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560592|F-R 7712|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154774|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKDW593634|F-R 8308|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151783|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F846092|F-R 8168|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151014|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW608692|F-R 7892|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150333|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW560612|F-R 7664|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150578|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW580932|F-R 7744|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151775|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F856134|F-R 8164|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151826|C-Zero|ELEKTRO 35kW NAVI Automatik 4-Sitzer |VF71NZKZZCU905666|F-R 8205|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
151227|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW612903|F-R 8033|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151078|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW608690|F-R 7919|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150202|Ka|1,3 Diesel 55kW NAVI |WF0UXXLTRUCG58783|F-R 7684|55|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150203|Ka|1,3 Diesel70KW NAVI |WF0UXXLTRUCG58721|F-R 7677|55|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
150591|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW613453|F-R 7786|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154788|500|ELEKTRO 17kW Automatik|ZFA31200000752983|F-KT 4080|17|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FIAT;STROM
151330|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKCW612907|F-R 8019|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151022|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609707|F-R 7894|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150334|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW561475|F-R 7665|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150213|Ka|1,2 Super 51kW NAVI|WF0UXXLTRUCG58831|F-R 7721|51|Super (Benzin)|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;SUPER (BENZIN)
151776|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F853317|F-R 8165|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
